1742247404912,gethead command,AryanIssPro,AryanIssPro
1742375552471,player decapitated,AryanIssPro,.AryanIssPro,§f[Wooden Sword]
1742375580169,player decapitated,.AryanIssPro,AryanIssPro,
1742375911170,player decapitated,AryanIssPro,.AryanIssPro,§f[Wooden Sword]
1742377906965,player decapitated,.AryanIssPro,VaibhavIssPro,§f[Iron Axe]
1742377938608,player decapitated,VaibhavIssPro,.AryanIssPro,
1742379273023,player decapitated,.AryanIssPro,AryanIssPro,§f[Iron Axe]
1742382419649,player decapitated,AryanIssPro,VaibhavIssPro,§f[Iron Axe]
1742388483247,player decapitated,AryanIssPro,.AryanIssPro,
1742449861625,player decapitated,kevin_ke_papa,VaibhavIssPro,§f[Diamond Axe]
1742552232728,player decapitated,ShashankIsPro,VaibhavIssPro,§f[Stone Sword]
1742552590678,player decapitated,ShashankIsPro,AryanIssPro,§f[Iron Sword]
1742553263277,player decapitated,.AryanIssPro,AryanIssPro,§f[Iron Sword]
